,name,requirements,branch,duplicate,completion,complete,completeRequirements
37,Brownie Cook,Learn the names of commonly used utensils & how to use them/Learn how to use a cooker or microwave safely/Prepare & cook any three of the following: Eggs OR Hot cereal OR Soup OR Toast OR Hot drink OR Jelly OR Sandwich - plain or toasted/Wash up & leave the kitchen tidy & clean/Explain food hygiene/Show how to be safe in the kitchen,B,G,0.0,I,N
38,Brownie Cultural Diversity,Take part in games or activities to get to know each other better & explore our similarities & differences/Through activities identify ways of respecting and including different cultures/Work in your Six to solve a puzzle using effective communication/Take part in games or activities that will help identify the feelings of being included or excluded/Celebrate an International Cultural Festival,B,A,0.0,I,N
39,Brownie Cycle Safety,Display the ability to ride a bike properly including applying the brakes/Demonstrate how to complete the M Safety Check of your bike/Show cycle control by cycling around five obstacles placed 1.5m apart/Identify the rules of the road specifically related to being a cyclist,B,G,0.0,I,N
40,Brownie Disability Awareness,Do any 1 of the following: Learn to spell your name ir ISL or learn how to sign 10 words in Lámh OR Find out about two disabilities & list ways that those disabilities can affect a person's life OR Evaluate the building in which you meet & how suitable it is for people who have a physical disability OR Make a poster or leaflet showing some of the events that form the Paralympics OR Find out about the work of an organisation that works for people with a disability & tell the Pack about them OR Find out about the work of an organisation that works for people with a disability & tell the Pack about them OR Talk about a person who is famous & has a disability/Do one of the above/Do one of the above (Do 3 different options to earn another badge),B,A,0.0,I,N
41,Brownie Discovering Faiths,Learn about three places of worship/Make a collage or poster about an organisation in your community that does good work OR a festival or celebration from one of the World Faiths/Find out about a world religion practiced in one of the following countries: India OR Switzerland OR the UK OR Mexico/Take part in a Guides' Own using songs or stories or drama or mime or music/Reflect on your Brownie Promise,B,G,0.0,I,N
42,Brownie Drug Awareness,Identify harmful substances that can be found in the home/Learn the Safety Rules for medicine storage & use/Practice making good choices/Take part in activities that help you build confidence in decision making/Make an Anti-Drugs Poster,B,A,0.0,I,N
43,Brownie Engineering,Take part in a game to understand the role of the engineer/Explore examples of engineering/Build a marshmallow tower OR What floats your boat? OR Make a teepee,B,A,0.0,I,N
44,Brownie Environmental Awareness,Discuss different ways of reducing water & energy use at home. Try one of these ways for a week & keep a record of what you've done/Make a poster or a useful item from recycled materials/Examine different ways of reducing your family's carbon footprint/Find out about one protected species in Ireland & one endangered species in the world. Make a display using this information/Identify the seven principles of Leave No Trace,B,A,0.0,I,N
45,Brownie Europe,Find out who are the member states of the European Union/Find out what MEPs do and who are the MEPs in your Constituency/Write a postcard to your MEPs to tell them what you do in Brownies/Learn that everyone in the world is different e.g. fingerprints or different languages or different colour skin,B,A,0.0,I,N
46,Brownie Fire Safety,Take part in a fire safety drill at your Unit meeting (Visit a fire station or invite a Fire Officer to your meeting if possible)/State how to call the Fire Brigade/Know E.D.I.T.H/Explain why smoke detectors should be used in homes & how to test them/Learn how to prevent smoke entering a room & show how to safely get out of a smoke-filled room. Demonstrate how to check for a fire behind a door before opening it/Demonstrate what to do if clothes catch a fire/Explain why water should never be thrown on a pan of fat which has caught fire/List five possible fire hazards in a home,B,A,0.0,I,N
47,Brownie First Aid,Explain the importance of remaining calm & getting adult help as quickly as possible when somebody has been hurt or injured/List ways to reassure somebody that help is coming/Describe why you must think of your own safety before helping anyone else/Demonstrate how to contact the emergency services & what to tell them/Demonstrate how to treat a simple burn/Demonstrate how to clean & treate a graze/Demonstrate how to stop bleeding from the nose/Demonstrate how to control bleeding from a wound/Demonstrate how to treat a wasp & bee sting/Demonstrate how to put a casualty in the recovery postion,B,A,0.0,I,N
48,Brownie Flower Lover,Identify & describe at least five garden & five wild flowers/Go for a walk & point out as many flowers & plants as possible/Discuss the importance of protecting wildflowers,B,No,0.0,I,N
49,Brownie Global Traveller,Do one of the following: Discuss what you should remember when walking or cycling in a different country OR Demonstrate how you might greet people from 3 countries in their traditional way OR Explain why people have passports & design a pretend passport OR Imagine going on a foreign trip - what steps do you need to take to prepare for it OR Learn how to say 'Hello' & 'Goodbye' & 'How are you?' & 'Please' & 'Thank you' in another langauge OR Take photographs. Display & label them or arrange them in an album or make a scrap book of what you enjoyed OR Play a Kim's game with your Six using souveneiers from other countires OR Make a picture postcard & write to a friend telling them what the place is like & what you did there (Real or imaginary) OR Hold a fashion show modelling the type of clothes you might wear if you lived in a very cold country & a very wet country & a very hot country & a very dry country/Do one of the above/Do one of the above (Earn by another badge by doing three different options),B,G,0.0,I,N
50,Brownie Green Fingers,Grow a flower seed & a vegetable or herb of your choice from seed or bulb or tuber/Explain the difference between a seed or a bulb or a tuber/Name four garden tools & how to care for them/Identify the dangers of the tools left lying around/Explain how to keep the garden tidy & free from weeds,B,G,0.0,I,N
51,Brownie Guiding Traditions,Complete one of the following: OR Discover what Brownies were originally called & when they began OR Create a Brownie uniform timeline OR Tie a reef knot & know how it is used OR Listen to the story of the left handshake OR Tie your shoelaces OR Make a plait with rope or cord or wool OR Light a candle safely with a match OR Polish a pair of shoes OR Wrap a parcel OR Learn how ot set a table correctly for a meal OR Wash up dishes at the sink OR Listen to the story of the Toadstool OR Listen to the story of Boggarty OR Sing the Tweenie Dong. Undertsand why there is a Tweenie Song OR Play a game to gain some facts about the history of Guiding OR Discovere what the Brownie health rules were OR Find out what Brownies used to carry in their pockets (along with their smile)/Complete one of the above/Complete one of the above/Complete one of the above (Earn another badge by doing a different four options),B,G,0.0,I,N
52,Brownie Healthy Body,Identify the important nutrients & food groups needed for a balanced diet. Find out more about these/Produce a menu which follows the healthy eating guidelines/Demonstrate how to wash your hands correctly & know when you should wash your hands/Explain the importance of good oral hygiene/Demonstrate how you look after your hair,B,A,0.0,I,N
53,Brownie Healthy Friendship,Examine how people can care for one another/Recognise & appreciate difference in others & identify ways to treat people with respect/Discuss how we can show good teamwork & show examples of teamwork & show examples of sharing & taking turns & compromise/Discuss ways of including everybody in Brownies & how we can ensure no one is left out/Identify qualities of a good friend,B,A,0.0,I,N
54,Brownie Healthy Mind,Outline how you are special & unique/Identify your own good qualities/Identify three different relaxation techniques/Practise one relaxation technique that you particularly like/Identify four different feelings & describe ways to deal with them/Identify the IGG tagline,B,A,0.0,I,N
55,Brownie Hostess,Make an invitation card/Help make & set out refreshments/Help make the guests feel welcome/Serve refreshments to guests/Help clear up afterwards/Make a decoration,B,G,0.0,I,N
56,Brownie Independent Living Skills,Bring a note signed by your parent that you have completed the following: AND Tidied & dusted & vacuumed your bedroom AND Laid & cleared the table for a meal AND Washed up the dishes including the cooking utensils OR filled & emptied the dishwasher afterwards AND Made your bed & helped change the bed clothes/Carry out one of the following: Clean a window or mirror OR Sew on a button or badge OR Polish a pair of shoes OR Clean a basin or sink OR Tidy a cupboard or drawer OR Empty the washing machine or tumble dryer OR Hang out & take in clothes from the line/Carry out one of the above/Carry out one of the above,B,G,0.0,I,N
57,Brownie Irish Culture and Traditions,Complete one of the following: OR Take part in the Walls or Limerick or the Siege of Ennis OR Perform a reel or jig OR Take part in a 2 or 3 or 4 hand reel OR Read an Irish legend & explain it to the Pack in Irish or English OR Sing an Irish song or recite an Irish poem OR Hold a simple conversation in Irish with the tester OR Sing the chorus of the Irish National Anthem OR Identify the landmarks of your local area OR Make a poster that would encourage people to vist your town or village OR Visit a building or centre or monument or statue or site of importance connected to our heritage & write about your visit OR Draw the Irish National Flag & explain the meaning of the colours OR Make a model or collage of an item from ancient or medieval Ireland OR Dress a doll in traditional Irish costume OR Make a St. Brigid's cross & tell a story about St. Brigid OR Illustrate a bookmark with a Celtic design/Complete one of the above/Complete one of the above (Complete three different options to earn another badge),B,A,0.0,I,N
58,Brownie Local Knowledge,Produce a booklet or poster about local useful services/Outline where local main roads lead to/Give simple directions to a local landmark/Visit & describe an interesting building or monument in your area,B,No,0.0,I,N
59,Brownie Money Matters,Learn a story about the importance of saving/Keep a record of money you receive & how you spend it/Know how to open a savings account/Plan a simple meal. Work out how much it would cost to buy the ingredients/Examine three different types of currency not used in Ireland. Know what the currency is called & which countries it is used in. If possible have examples of the currency to show others,B,G,0.0,I,N
60,Brownie Nature Observer,Visit a mountain or seashore or river bank or woodland. Describe or draw what you can see & hear & smell & feel/Carry out a minibeast or bug hunt - look & see if you can spot any of the following: Woodlice or spider or ant or slug or snail or milliped or centipede or caterpillar or ladybird. What else can you find?/Find a spider's web & study it carefully & draw a spider's web/Choose 3 of the following categories & identify 4 of varieties of each of them: butterflies & insects & wild animals & garden flowers & wildflowers & trees & sea creatures,B,G,0.0,I,N
61,Brownie Pack Holiday,Know what you need to bring for a weekend away/Learn how to pack your bag/Learn how to take care of your possessions over the weekend - putting everything away/Take part in all the activities at the weekend (with your Brownie Smile),B,A,0.0,I,N
62,Brownie Performing Arts,Do one of the following: Play an instrument or sing a song OR Copy a rhythm made by the Leader OR Recognise & name one instrument from each section of an orchestra: woodwind & string & percussion & brass OR Name the notes on a treble stave & show that you can name different values of different notes OR Make a percussion instrument & use it to accompany a well-know tune or song OR Talk about music with your friends & find out what they like best OR Take part in a performance with others before in an audience OR Make or design scenery or costumes or props for an entertainment event OR Make a programme for an entertainment event OR By yourself do one of the following (2-3 mins): Act or mime or use puppets to tell a story or Recite a poem or read a short story or Perform a dance or Sing a song or Play a musical piece OR Act as a compére for a show put on by other Brownies OR Learn a folk or national or modern dance & perform it accurately or hold a first grade certificate from recognised school of dancing OR Make up a simple dance to music you like OR On your own or with others make a booklet showing at least 3 different kinds of dance OR Recognise the music of at least four different types of dances or dance styles OR Know the story of two well-known ballets OR Visit the website of a famous dance company & find out all you can about them/Do one of the above/Do one of the above (Earn another badge by completing three different options),B,A,0.0,I,N
63,Brownie Personal Safety,Discuss the importance of the 3 Ws that parents or guardians should know before you go anywhere without them - Where & Who & When/Act out a short play with your Six showing how you would keep yourself safe in one of the following situations: Lost in shopping centre OR Going to the shops OR Going to a friend's house OR On holidays with your family OR At home & phone or doorbell rings/Discuss times or places where you might feel afraid or in danger/List the early warning signs to tell us when we are in danger or afraide. What can you do when you have those signs or feelings?/Discuss the importance of keeping your own possessions safe when you are out & about/Draw a picture & write a slogan which will encourage respect for the property of other people & discourage vandalism,B,G,0.0,I,N
64,Brownie Pet Care,Make a poster or leaflet about your favourite pet animal showing: what it eats AND where it comes from AND what kind of exercise it needs AND how it likes to play/Know where your local vet's surgery is & the opening hours. Explain why your pet might need to visit the vet./Explain what you would do if you found a sick or stray animal/Help to care for an animal regularly for ten days/Tell your Unit about points to be considered before deciding what (if any) pet to own,B,G,0.0,I,N
65,Brownie Road Safety,Know & demonstrate the Safe Cross Code/Identify the different types of road crossings & demonstrate how to safely use them/Explain the safety measures to be taken by a passenger travelling on public & private transport/Know the safety measures to be taken while cycling/Know the common road signs,B,A,0.0,I,N
66,Brownie Robotics,Explore ways in which robots are used in everyday life/Discuss how robots are designed and built/Design your ideal robot & explain the design: why you chose particular parts and materials & the tasks it is able to do and why you chose these tasks/As a Six take part in five Six Bricks activities to learn about colour & building & movement/As a Six take on a robotics challenge using the LEGO WeDo 2.0 or Spike Essential kits & complete at least two building and coding projects (By completing the FIRST® LEGO® League Explore Programme girls are automatically awarded this badge),B,A,0.0,I,N
67,Brownie Safety in the Home,Show how to use a landline & mobile phone to contact emergency services/Know who your family doctor is & where the surgery is/Identify some dangers around the home. Explain why you think they may be dangerous.Explain how you would eliminate the dangers/Identify how the following could be a danger to young children: Plastic bags AND Medicines & pills left within reach AND Scissors & knives & needles & pins AND Chemicals like cleaning fluids & disinfectants AND Matches/Know where to find a working torch in your house for use in an emergency & show how to change the batteries in it/Show how to switch on & off an electrical appliance & know why they should be switches off when not in use,B,A,0.0,I,N
68,Brownie Science Investigator,Complete one of the following: OR Learn about the weather OR Investigate magnetism OR Discover if ice is lighter than water OR In your Six build a structure such as a bridge or tower. Could your structure survive an earthquake? OR Find out how air can power transport & produce renewable energy. Find out about how different forces act on each other OR Explore how science has been used to improve safety OR Make a vehicle & see how far it can travel OR Make a volcano OR Make your own butter OR Make a rocket & launch it OR Make a rainbow OR Make a lava lamp OR Write secret messages with invisible ink OR Investigate the main organs of the body & what they do for us OR Invite a science teacher or someone interested in science to your meeting & find out more about science from them/Complete one of the above/Complete one of the above/Complete one of the above (Earn an additional badge by completing four different options),B,A,0.0,I,N
69,Brownie Space,Explain what makes Earth so special for life/Take part in an activity to learn about the night sky: OR Stargazing - Find the North Star OR Stargazing - Look at the Moon over a few days or nights; how does it change? OR Make constellation patterns/Take a solar system walk. Share what you know about each planet/Make a model space station from recycled material/Make orFire a model rocket/Look for the International Space Station in the night sky. Find out how many astronauts are aboard it right now and what countries they come from,B,A,0.0,I,N
70,Brownie Sportswoman,Keep a log for 4 weeks of your activity which shows how you carried out or took part in this activity/Tell your Unit what equipment & materials & practice time you need for your activity/Show some background information about your activity,B,A,0.0,I,N
71,Brownie Techno,Show how to turn on and off safely a computer or laptop or tablet/Be able to start & run & close a programme/Save something you have created to a hard drive or memort stick/Explain how to care for your ICT devices/Begin to distinguish between fact & fiction in stories found online/List some guidelines to help you use the internet safely,B,G,0.0,I,N
72,Brownie Tree Lore,Recognise at least 6 trees in your local area/Identify the leaves & fruites of 6 trees/Go on a walk with your Pack & point out as many types of trees as possible/Explain the difference between deciduos & evergreen trees/Do a tree study - bark rubbing & leaf print & height and width measurements & whether it has suffered damage & any wildlife that lives in it,B,No,0.0,I,N
73,Brownie Voting,Evaluate the importance of voting & using your vote/Design an election poster with your Six/Hold an election in your Pack/Count the vote/Declare the election result,B,A,0.0,I,N
74,Brownie Water Safety,Illustrate the Water Safety Code/Know why the following can be dangerous: Open water such as lakes & rivers & canals & ponds AND Shallow water AND Cold water AND Standing on iced-over rivers or ponds or lakes or canals/Understand the safety signs & symbols & flags that you may see at beaches or other areas of open water/List places where it is safe to swim & explain why you should never swim alone/Demonstrate the 'reach' & 'throw' methods of rescue with an aid e.g. t-shirt or plastic bottle,B,A,0.0,I,N
75,Brownie World Guiding,Find out what WAGGGS stands for & how many countries are members & colour the WAGGGS World Flag/Know the names of the World Centres & where they are/Know 8 things that we share with Brownies around the world/Learn about Brownies from two other countries & what they are called & what Promise they make & what their Promise badge is. Find their country on a map/Design a World Thinking Day card & send it to someone you know in Guiding/Take part in a World Thinking Day celebration,B,A,0.0,I,N
76,Brownie Writer,Complete one of the following: OR Write an original story OR Write a short poem OR Write a playlet OR Write a letter of thanks OR Write a description of a Brownie event/Complete one of the above/Complete one of the above (Earn an additional badge by completing three different options),B,G,0.0,I,N
77,Guide Active Body,Explain the importance of exercise & what it does for our bodies/Show some exercises for warming up before taking exercise & stretching your muscles & cooling down afterwards/Complete one of the following: OR Using a rope skip forwards for three minutes. Demonstrate two other skipping movements OR Perform a full set of aerobic exercises which exercises every part of your body to music OR Cycle 5km OR Jog or run 2km OR Skate for 20 mins OR Swim 100m OR Walk briskly for 20 mins OR Take part in a fitness trail OR Perform a variety of gymnastic moves OR Throw and catch a ball over 6m with a partner 10 out of 12 times OR Throw a ball from 4m & hit a target 30cm square OR Run for 25m bouncing a basketball OR Demonstrate two simple yoga techniques OR Demonstrate some GAA skills with a hurl or handball or football/Complete one of the above/Complete one of the above/Complete one of the above (Earn another badge by completing three different options),G,A,0.0,I,N
78,Guide Art and Craft,Complete one of the following: OR Know the primary colours. Mix them to make other colours. Take one colour and make several shades of that colour OR Make a pattern you like using colour & shape & texture OR Create a textured collage OR Make a poster to illustrate one of the Guide Laws OR Make an item using decorative stitches & fabric OR Knit an article of your choice OR Knit a 12cm square showing three different stitches OR Print a piece of material using a lino-block or potator cut or screen or tie-dying or fabric paints OR Model a figure or animal or mood in clay or plasticine or wax OR Make a carving in a medium softe enough to cut easily (e.g. clay or plaster or wood or soap or salt) OR Make a pot OR Make a basket OR Weave an article that is either useful or decorative OR Make an article in leather OR Make a mosaic OR Make a tapestry OR Make an article using macramé OR Make an article using patchwork OR Make an article using some other craft of your choice OR Make a friendship bracelet OR Sew your badges on to your sash or bag or camp blanket OR Design a card using quilling or calligraphy or decoupage OR Make a flower arrangement OR Make a soft toy OR Make clothes for a doll. Bring dressed doll to the tester OR Make a mobile OR Make a board game OR Make a toy from recycled material OR Make a toy of your own choice OR Make and decorate a 'shoebox room' to incorporate furnishing & wallpapering & painting & etc./Complete one of the above/Complete one of the above/Complete one of the above (Earn another badge by completing four different badges),G,A,0.0,I,N
79,Guide Arts Appreciation,Complete one of the following: OR List different genres of films OR Watch one film from 3 genres. Talk to your Patrol about your choices. Where possible watch at least one of the films in a cinema OR Explain what the film classifications are and why they are used. Explain the role of IFCO OR Explain the difference between a preview and a review. Write a review of a film that you have seen recently OR Choose an Irish film star or director whose work you admire. Discuss the person's role within the film OR Create a display about the classical music you like best; where you hear it; who plays it and why you consider it enjoyable OR Explain why The Great Composers' music is still being played over radio & television & in packed concert halls throughout the world. Name three Great Composers & list some of their famous works OR Talk about some musical event you attended recently; school concert or rock or an operetta or musical or oratorio OR Name the four sections of the classical orchestra and some of the instruments in each. Pick one of the instruments & discuss its sound & the way it is played. Name one piece of music in whic it features prominently OR Create a display about the music you like best; where you hear it; who plays it & why you consider it enjoyable OR Make a presentation on your favourite group. This should include its history & the progress it's making OR Select an individual singer and find out as much as you can about them. Explain how you feel about them as a) a musician and b) a person OR Select a song you like & explain its content & meaning & the message for you. Select another song you dislike and tell why you don't like it OR Survey your Patrol about their favourite songs & why they like them OR Attend a theatrical performance OR Write a review of a show or play that you have attended OR Choose a playwright whose work you admire and describe why OR Outline the main features of a theatre & list 5 well known theatres in Ireland OR Attend an exhibition. Describe your favourite piece and who the artist is OR Describe your favourite piece of visual art & why the piece appeals to you OR Choose an artist whose work you admire & describe why OR Investigate different types of visual arts & discuss these with your Patrol/Complete one of the above/Complete one of the above/Complete one of the above (Earn another badge by completing 4 different options),G,No,0.0,I,N
80,Guide Aviation,Investigate two of the following aviation careers: OR Flight planner OR Pilot OR Engineer./List 3 different aircrafts that Aer Lingus use and make a model of one of them. Have a competition within your unit to see which model flies the highest or the furthest or the longest etc. and explain why./Investigate the life and accomplishments of important women in the history of aviation or read the story 'When Our Plane Hit the Mountain' by Suzanne Barnes. Do a brief biography outlining their contribution and present it as a song or poem or poster or video or another format.,G,A,0.0,I,N
81,Guide Book Lover,Know what library facilities there are locally/Choose an author whose books you like to read & explain why you like them/Read a book from four different genres: fiction or travel or biography or animal or outdoor or historical. One of the books should be by an Irish author. Give a brief account of each book/Read four poems (two by Irish poets). Say why you like or dislike them/Show how to use a reference book,G,B,0.0,I,N
82,Guide Camper's Way Bronze,Spend at least 2 nights at Guide camp/Produce a full & correctly packed camp kit/Assist in pitching & striking & packing a Patrol tent/Learn what the patrol duties are & actively participate in them/Help prepare your tent for inspection/Take part in an outdoor campfire & understand the safety precautions needed around a fire/Be aware of what precautions are necessary when using stoves or fires/Know what CO & MO & QM stand for/Complete one of the following: OR Learn how to make two camp gadgets OR Successfully tie your bedding roll & play a game throwing it in order to test it OR Learn 2 knots that are useful at camp OR Recognise three itmes that will start fire quickly & three woods that keep a fire burning & three woods to be avoided,G,A,0.0,I,N
